"classified_image_id","roundness","tailedness","blockiness","curviness","deviation_from_usno1","graded","image_id","image_name","usdaclass_name","axial_length","max_diameter","lw_ratio","weight_oz","user_id","user_role"
18005,65,12,63,4,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,37,"Researcher"
6005,50,7,80,5,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,13,"Student"
10006,20,25,16,60,30,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,21,"Student"
22006,50,50,7,52,56,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,45,"Student"
14006,35,35,9,62,44,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,29,"Researcher"
6,24,50,50,70,63,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,1,"Researcher"
18006,26,59,18,45,50,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,37,"Researcher"
2006,57,25,60,30,80,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,5,"Researcher"
12006,50,35,50,63,74,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,25,"Researcher"
6006,37,14,17,37,61,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,13,"Student"
24006,5,20,50,50,50,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,49,"Researcher"
20006,75,25,25,75,50,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,41,"Researcher"
16006,20,50,19,50,58,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,33,"Student"
8006,50,50,21,69,50,True,6,"0604795f70f677048eddee9407ea2b5c.bmp","U.S. No. 1",7.38,2.82,2.39,13.01,17,"Researcher"
22007,10,37,0,3,25,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,45,"Student"
8007,2,50,1,23,27,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,17,"Researcher"
10007,7,9,10,10,10,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,21,"Student"
24007,10,50,10,0,6,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,49,"Researcher"
18007,22,65,17,8,9,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,37,"Researcher"
7,13,50,2,12,13,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,1,"Researcher"
6007,8,11,0,3,39,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,13,"Student"
14007,32,63,9,24,35,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,29,"Researcher"
16007,10,25,10,25,38,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,33,"Student"
2007,15,45,0,0,30,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,5,"Researcher"
12007,26,25,2,11,19,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,25,"Researcher"
20007,25,25,0,0,10,True,7,"84350a61e826a8be958e077ec8981aa0.bmp","U.S. No. 1",5.58,1.59,3.09,3.26,41,"Researcher"
8008,74,50,50,1,26,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,17,"Researcher"
20008,90,5,90,50,75,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,41,"Researcher"
22008,98,57,94,10,36,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,45,"Student"
24008,100,50,78,23,72,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,49,"Researcher"
10008,60,40,40,15,35,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,21,"Student"
16008,81,5,89,10,15,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,33,"Student"
12008,50,62,94,21,36,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,25,"Researcher"
2008,70,0,65,5,45,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,5,"Researcher"
18008,65,10,77,5,10,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,37,"Researcher"
8,69,3,96,7,50,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,1,"Researcher"
6008,84,0,56,13,45,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,13,"Student"
14008,89,25,97,13,49,True,8,"5a0ee94fc9f745baece3095b5ceb3efc.bmp","U.S. No. 1",6.25,3.17,1.62,13.83,29,"Researcher"
18009,46,30,28,21,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,37,"Researcher"
22009,8,25,3,7,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,45,"Student"
9,6,14,4,11,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,1,"Researcher"
6009,41,38,0,11,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,13,"Student"
12009,50,26,10,5,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,25,"Researcher"
24009,0,50,8,50,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,49,"Researcher"
2009,10,15,15,45,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,5,"Researcher"
20009,25,25,25,50,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,41,"Researcher"
16009,50,25,5,69,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,33,"Student"
8009,2,50,50,26,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,17,"Researcher"
10009,20,40,50,40,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,21,"Student"
14009,20,50,10,72,NULL,True,9,"8bbae7357c78da57a0e2f71673209539.bmp","U.S. No. 2",9.68,3.28,2.76,26.84,29,"Researcher"
22010,50,100,17,35,84,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,45,"Student"
14010,39,22,65,73,50,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,29,"Researcher"
8010,25,28,1,98,98,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,17,"Researcher"
16010,50,74,50,64,86,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,33,"Student"
20010,75,50,50,100,90,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,41,"Researcher"
2010,65,60,50,95,95,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,5,"Researcher"
24010,78,82,0,100,86,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,49,"Researcher"
12010,65,50,50,97,60,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,25,"Researcher"
18010,40,64,30,78,70,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,37,"Researcher"
6010,60,81,NULL,100,100,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,13,"Student"
10,24,3,16,98,81,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,1,"Researcher"
10010,65,65,65,65,65,True,10,"01c80bc3f0e3b07d30cce36f05d05219.bmp","U.S. No. 1",6.42,3.38,1.68,11.0,21,"Student"
8011,73,23,26,1,24,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,17,"Researcher"
11,82,0,88,3,50,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,1,"Researcher"
2011,75,25,60,20,60,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,5,"Researcher"
10011,75,25,24,24,30,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,21,"Student"
12011,73,4,50,12,26,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,25,"Researcher"
24011,77,NULL,50,0,74,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,49,"Researcher"
6011,74,0,39,0,20,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,13,"Student"
22011,84,5,71,13,23,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,45,"Student"
20011,80,NULL,0,50,75,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,41,"Researcher"
18011,66,14,78,20,23,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,37,"Researcher"
14011,73,24,60,35,32,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,29,"Researcher"
16011,82,NULL,50,3,30,True,11,"64539df0b7a8e121bbbef0efbaca92f3.bmp","U.S. No. 1",4.0,3.0,1.26,9.0,33,"Student"
14012,83,34,58,39,39,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,29,"Researcher"
18012,65,15,42,13,28,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,37,"Researcher"
24012,74,26,27,22,75,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,49,"Researcher"
12012,50,9,76,24,50,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,25,"Researcher"
10012,58,50,50,50,50,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,21,"Student"
8012,73,27,27,24,24,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,17,"Researcher"
12,76,12,73,4,50,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,1,"Researcher"
20012,85,NULL,50,25,75,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,41,"Researcher"
16012,67,9,50,3,10,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,33,"Student"
2012,70,50,55,5,35,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,5,"Researcher"
22012,65,26,27,3,27,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,45,"Student"
6012,60,19,35,6,21,True,12,"06cf569072846a6a87c56c419f12f6b9.bmp","U.S. No. 1",5.49,3.35,1.49,14.88,13,"Student"
10013,75,50,50,50,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,21,"Student"
18013,80,12,64,16,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,37,"Researcher"
8013,97,1,1,0,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,17,"Researcher"
14013,88,28,72,13,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,29,"Researcher"
12013,83,38,61,6,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,25,"Researcher"
22013,97,9,96,9,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,45,"Student"
16013,99,3,39,NULL,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,33,"Student"
24013,89,50,NULL,NULL,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,49,"Researcher"
2013,95,5,50,0,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,5,"Researcher"
13,87,6,80,1,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,1,"Researcher"
20013,90,5,10,25,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,41,"Researcher"
6013,95,5,36,0,NULL,True,13,"0af6099e8105025c342ecbfb564a3fcb.bmp","U.S. No. 2",5.92,4.02,1.32,21.41,13,"Student"
14,50,8,50,3,20,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,1,"Researcher"
14014,60,19,46,12,18,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,29,"Researcher"
24014,72,75,15,9,74,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,49,"Researcher"
10014,35,35,35,10,28,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,21,"Student"
6014,50,16,0,0,4,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,13,"Student"
22014,68,13,36,7,8,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,45,"Student"
16014,67,9,31,3,11,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,33,"Student"
18014,70,17,44,3,11,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,37,"Researcher"
20014,50,25,25,0,10,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,41,"Researcher"
2014,50,0,0,0,5,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,5,"Researcher"
8014,50,23,2,1,20,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,17,"Researcher"
12014,55,25,24,3,13,True,14,"9f85f6a748e7c7d9e530f09c5d12ff30.bmp","U.S. No. 1",4.5,2.42,1.63,6.12,25,"Researcher"
24015,82,50,NULL,NULL,77,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,49,"Researcher"
20015,75,10,10,0,75,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,41,"Researcher"
12015,75,16,50,12,23,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,25,"Researcher"
6015,57,56,0,4,38,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,13,"Student"
10015,75,50,50,35,50,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,21,"Student"
15,76,24,75,1,71,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,1,"Researcher"
8015,76,50,0,NULL,NULL,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,17,"Researcher"
18015,62,32,38,30,23,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,37,"Researcher"
14015,65,18,37,58,22,True,15,"6fb4abbb46439e5bc4303c6fabbeee3b.bmp","U.S. No. 1",3.83,2.96,1.21,7.05,29,"Researcher"
